,P1,P2,P3,T1,T2,T3,TA,TG,PO,QG
2016-01-05 10:30:00,7.498103889359669,7.3019814380412065,5.3888900424336725,64.23779616908415,41.66786868010091,34.00099878863226,2.9842015899517844,12.095091826323873,5.311046791355066,232515.0057214047
2016-01-05 11:00:00,7.49010018334319,7.292094891554458,5.3732020623028705,64.25213386499446,41.693661679216284,33.90134216404548,3.532486868729015,12.095024718852791,5.295225819046828,232459.55564758088
2016-01-05 11:30:00,7.498062879741157,7.300163630447635,5.379412721366008,64.26099787549619,41.74195053237824,33.9834170535017,4.731001566202485,12.097428243451105,5.301489517485707,232665.79885189043
2016-01-05 12:00:00,7.5044441581742465,7.309114977946698,5.383829602563271,64.26974625849907,41.75814313863071,34.08989886029693,5.810582754949689,12.09249904549532,5.305113298413509,232680.43067765812
2016-01-05 12:30:00,7.491825136981996,7.295715609462355,5.377536491312874,64.34520069503164,41.74292408587665,34.04206880680778,6.23234340210415,12.088733189486753,5.298256853645195,232647.45220110295
2016-01-05 13:00:00,7.4929384411933615,7.297809554118657,5.370837531835298,64.38883815220318,41.78127849070229,34.11428194910602,7.220799760421132,12.087298359229345,5.292352993426352,232851.48524319133
2016-01-05 13:30:00,7.494815216030648,7.298747232959175,5.36526892086577,64.3880553417856,41.78603650088528,34.077705144841694,8.362352318956034,12.086309149918227,5.286907153150961,232859.8676999359
2016-01-05 14:00:00,7.485047572149131,7.287576829116974,5.3525621152558385,64.42806537922912,41.74817918368446,34.02359901432014,8.722729,12.085084083169018,5.273924643506599,233056.69637610813
2016-01-05 14:30:00,7.476153934368308,7.278217281022686,5.3383451500883625,64.45966299640074,41.76076262059368,34.012983684099616,8.779468135200919,12.083918253791369,5.258838058017001,233173.28931577393
2016-01-05 15:00:00,7.4810605684944305,7.281647136016902,5.328757985733184,64.46721332841989,41.81805456418589,34.06434040868288,8.80522349768274,12.08218306163439,5.248853208180097,233407.84938714196
2016-01-05 15:30:00,7.485185203520674,7.28782508026188,5.325007367436358,64.4483062810191,41.88029895682979,34.18407061828872,8.771317455255183,12.079499842060377,5.248833442849521,233516.23471489432
2016-01-05 16:00:00,7.473896910484094,7.277549463494415,5.321236830703426,64.4801246846218,41.84844655725345,34.24038497084397,8.62271225657201,12.079050015413758,5.243910332482131,233572.0377153245
2016-01-05 16:30:00,7.470492931702279,7.272597554756542,5.318848,64.53608992856358,41.854718309466776,34.205084564691816,8.42379173242143,12.074414913181624,5.238425799616118,233728.83922214838
2016-01-05 17:00:00,7.474818616001642,7.277733603907254,5.321035914368151,64.51875541424276,41.89331418707962,34.24035254823013,8.19652074347661,12.072280320453105,5.242463347817455,233823.96243536408
2016-01-05 17:30:00,7.473574158207825,7.277744957116937,5.334376722701952,64.50882086653681,41.90181357558899,34.298321006306686,7.6555137476744415,12.068334386229978,5.255578529261599,233875.81439294879
2016-01-05 18:00:00,7.472633936874653,7.276211079085264,5.346253836402818,64.42212793101751,41.916228775607046,34.27743179836033,7.050035571994315,12.066298125181456,5.2669463995280505,233902.14797978787
2016-01-05 18:30:00,7.481376616453282,7.284378707401869,5.357309905471558,64.34592474562565,41.879456423328975,34.212463419523985,6.4494926691687855,12.067947256112173,5.278123366513195,233881.39896829662
2016-01-05 19:00:00,7.481089485827001,7.283778308821628,5.372377575521234,64.31697925727774,41.82329432678703,34.13719070731222,5.76813385902093,12.064569872751857,5.293392747452882,233864.96588114052
2016-01-05 19:30:00,7.489168704281874,7.292744697703369,5.38596379853444,64.27300343389835,41.74564183384796,34.00355189653217,5.385733988722486,12.061118974804893,5.307494054744442,233794.12130791743
2016-01-05 21:00:00,7.497536856869648,7.302528014233673,5.402679869260846,64.29160759164178,41.693159212210716,34.08211642736229,4.883195963086471,12.050067881225615,5.324921202207415,233553.22489508506
2016-01-05 21:30:00,7.48935708824332,7.293045236943162,5.404089894375759,64.43708718984988,41.64778447756044,34.00647277574868,4.314847478031436,12.045730770751645,5.326698314819869,233522.00648039408
2016-01-05 22:00:00,7.499431429217309,7.302581896891948,5.405954750898027,64.50732336671923,41.63551827177805,33.936421533632014,4.179210061939034,12.046635547161397,5.328495366921184,233468.68134150645
2016-01-05 22:30:00,7.504977586902825,7.310410845187015,5.406394320451641,64.36322574325645,41.62138152438505,33.975906477624484,4.778890968175312,12.043547702777108,5.329508337368756,233410.96598247392
2016-01-05 23:00:00,7.496127381711675,7.302260038413524,5.406351642175796,64.29465787412813,41.60291364642452,33.97887643553745,5.31983564019431,12.036128064581387,5.329799253968747,233332.48818058698
2016-01-05 23:30:00,7.497025670495745,7.302658106252291,5.406738,64.31093998083023,41.61341861733026,33.90691520284102,4.927510803536972,12.033355898545953,5.329503722670716,233287.14557918612
2016-01-06 00:00:00,7.505061719741738,7.310940647764255,5.406738,64.33531876907604,41.63428677837137,33.92665111345698,4.442428658199619,12.036216959082562,5.32903265641251,233242.2631038674
2016-01-06 00:30:00,7.498643848647989,7.302634009284274,5.407441501883683,64.40247331009977,41.62190917190864,33.910821269883925,4.482718849340865,12.031718761663578,5.3302639243938765,233186.77970437537
2016-01-06 01:00:00,7.492064744577173,7.2964618983649485,5.417069659039624,64.44817735148872,41.583601333126,33.922529812715126,4.8210606214920615,12.022511294260722,5.340518430518045,233144.1141346956
2016-01-06 01:30:00,7.49709585506545,7.302009064469908,5.433308887916202,64.39019921890429,41.60932220569611,34.00322017255236,5.507974331902991,12.02136890411777,5.356880948214459,233105.75636579658
2016-01-06 02:00:00,7.5007356673889705,7.306754218166711,5.4436654326615574,64.30733968820206,41.61706560563933,34.00254003926606,6.720177782262809,12.021839845881525,5.367422674703275,233056.87059405437
2016-01-06 02:30:00,7.507011793305963,7.313934823800917,5.449196205098722,64.29357627979617,41.591327102416145,33.91964163617934,7.118518406465988,12.017068369139945,5.374460447087974,232991.38328960762
2016-01-06 03:00:00,7.513416867861551,7.318782623000217,5.453609142336255,64.31680170426925,41.6052329991125,33.938198514449475,6.339694385237756,12.009556130309667,5.378265250828181,232931.4051727765
2016-01-06 03:30:00,7.5119406422681205,7.3162573820526555,5.455442308754643,64.35326685353017,41.60959610217981,33.969086762797644,5.5415209411931325,12.008308887831568,5.37902166326939,232883.06420956214
2016-01-06 04:00:00,7.516723848841554,7.32249156598367,5.456191703828776,64.3495473691773,41.597629235521424,33.96199002808852,5.236140912657752,12.009463630400544,5.380388805799549,232819.86492234562
2016-01-06 04:30:00,7.5252216074160225,7.33126564192591,5.458397993562306,64.31385151557441,41.58723586633324,33.92724186400705,5.116815517437446,12.004714284778327,5.382161766560063,232742.56237284714
2016-01-06 05:00:00,7.51761498861211,7.320903492288594,5.460985166625347,64.34972865798085,41.57239459328718,33.917211779636254,4.866897131124763,11.99592193327772,5.384058708356066,232684.102461961
2016-01-06 05:30:00,7.5106410064371,7.313092200338187,5.46278330283104,64.3988588914219,41.55283326712539,33.95095159085808,4.73769090135113,11.990890856981816,5.385715567226068,232644.0222985303
2016-01-06 06:00:00,7.511466335967286,7.313640692712506,5.463900881815632,64.42819703395834,41.60229482297896,34.049838973568825,4.809069533751079,11.9904062752415,5.386969801141824,232601.09930128205
2016-01-06 06:30:00,7.5130673399725545,7.315233010885352,5.4653691118406895,64.46551897980187,41.6655734116451,34.112745828608915,4.683533815117964,11.99228005559117,5.388415003110101,232545.0133755277
2016-01-06 07:00:00,7.517763641280767,7.320073923103424,5.4668416837775995,64.44857939556294,41.64778487736225,34.034399583715626,4.435345500864649,11.987733237116917,5.389766866282188,232493.4379960596
2016-01-06 07:30:00,7.518259229358012,7.3209258271025615,5.468316526092546,64.45604535659172,41.644209681200714,34.03369881389248,4.3522801298600555,11.979452146669962,5.390631020537873,232441.05525757466
2016-01-06 08:00:00,7.521534832253747,7.325045006498113,5.468596517463377,64.48156775876528,41.67010642131219,34.123293356171295,4.461528900498533,11.976246380161973,5.390961821356573,232400.37949276104
2016-01-06 08:30:00,7.520832605480325,7.3233989727539575,5.4674585205420945,64.4786338875859,41.697561447733456,34.204649588165374,4.517933887332826,11.97540524461566,5.390256334004506,232336.21750069223
2016-01-06 09:00:00,7.519414554499433,7.321346905276982,5.466392139283295,64.52831085790916,41.712326070785075,34.20673197278507,4.797597827864685,11.970815428076884,5.388595939166489,232308.1741800197
2016-01-12 08:30:00,7.192449513585746,6.980205027171492,5.487361020638771,64.92536948329621,41.89101214699332,35.733228841870826,-0.32610517298964825,12.017304628062362,5.404513363028953,250448.2077028442
2016-01-12 09:00:00,7.208153445128345,6.994472713234187,5.487848750666215,64.9607274692823,41.916158128633896,35.91171045872232,0.4826001531278147,12.020470921269917,5.404440465543616,249701.11000123213
2016-01-12 09:30:00,7.193744500330554,6.980639238223842,5.481467978127939,64.8644541259645,41.9827034918908,35.81953208706664,1.9558162300488744,12.016152635692281,5.408456350261246,249851.8022034203
2016-01-12 10:00:00,7.197856430802612,6.984348066020602,5.482281313855351,64.87774743473781,42.01509189499933,36.00406810011666,3.0093629644575106,12.018565627558251,5.3985419549805815,249942.08100649156
2016-01-12 10:30:00,7.18582201573871,6.969513788907798,5.484891207432797,64.86648269341553,42.01603764421776,35.756068176015575,3.319148989004661,12.023408907922823,5.392540454127328,250147.2757959925
